769 pairs total, 769 to do, 6 workers
[36/769] i=36 rc=0 0.7s {"i": 36, "pair": "libselinux__3.7__3.8", "libs": 1, "err": false}
[37/769] i=37 rc=0 0.8s {"i": 37, "pair": "libselinux__3.8__3.8.1", "libs": 1, "err": false}
[38/769] i=38 rc=0 0.8s {"i": 38, "pair": "libselinux__3.8.1__3.9", "libs": 1, "err": false}
[39/769] i=39 rc=0 0.8s {"i": 39, "pair": "libselinux__3.9__3.10", "libs": 1, "err": false}
[40/769] i=41 rc=0 0.7s {"i": 41, "pair": "libedit__3.1-20210714__3.1-20210910", "libs": 1, "err": false}
[41/769] i=40 rc=0 0.9s {"i": 40, "pair": "libselinux__3.10__3.11", "libs": 1, "err": false}
[42/769] i=42 rc=0 0.7s {"i": 42, "pair": "libedit__3.1-20210910__3.1-20221009", "libs": 1, "err": false}
[43/769] i=43 rc=0 0.8s {"i": 43, "pair": "libedit__3.1-20221009__3.1-20221030", "libs": 1, "err": false}
[44/769] i=44 rc=0 0.7s {"i": 44, "pair": "libedit__3.1-20221030__3.1-20230828", "libs": 1, "err": false}
[45/769] i=45 rc=0 0.8s {"i": 45, "pair": "libedit__3.1-20230828__3.1-20240517", "libs": 1, "err": false}
[46/769] i=47 rc=0 0.7s {"i": 47, "pair": "libedit__3.1-20240808__3.1-20250104", "libs": 1, "err": false}
[47/769] i=46 rc=0 0.8s {"i": 46, "pair": "libedit__3.1-20240517__3.1-20240808", "libs": 1, "err": false}
[48/769] i=48 rc=0 0.8s {"i": 48, "pair": "libedit__3.1-20250104__3.1-20251016", "libs": 1, "err": false}
[49/769] i=49 rc=0 0.8s {"i": 49, "pair": "libedit__3.1-20251016__3.1-20260512", "libs": 1, "err": false}
[50/769] i=50 rc=0 0.6s {"i": 50, "pair": "popt__1.16__1.18", "libs": 1, "err": false}
[51/769] i=51 rc=0 0.6s {"i": 51, "pair": "popt__1.18__1.19+dfsg", "libs": 1, "err": false}
[52/769] i=52 rc=0 0.6s {"i": 52, "pair": "keyutils__1.5.9__1.6", "libs": 1, "err": false}
[53/769] i=53 rc=0 0.6s {"i": 53, "pair": "keyutils__1.6__1.6.1", "libs": 1, "err": false}
[54/769] i=54 rc=0 0.5s {"i": 54, "pair": "keyutils__1.6.1__1.6.3", "libs": 1, "err": false}
[55/769] i=55 rc=0 0.6s {"i": 55, "pair": "libcap2__2.36__2.42", "libs": 1, "err": false}
[56/769] i=57 rc=0 0.5s {"i": 57, "pair": "libcap2__2.43__2.44", "libs": 1, "err": false}
[57/769] i=56 rc=0 0.6s {"i": 56, "pair": "libcap2__2.42__2.43", "libs": 1, "err": false}
[58/769] i=58 rc=0 0.5s {"i": 58, "pair": "libcap2__2.44__2.63", "libs": 1, "err": false}
[59/769] i=59 rc=0 0.5s {"i": 59, "pair": "libcap2__2.63__2.66", "libs": 2, "err": false}
[60/769] i=60 rc=0 0.6s {"i": 60, "pair": "libcap2__2.66__2.73", "libs": 2, "err": false}
[61/769] i=62 rc=0 0.5s {"i": 62, "pair": "libcap2__2.75__2.77", "libs": 2, "err": false}
[62/769] i=61 rc=0 0.6s {"i": 61, "pair": "libcap2__2.73__2.75", "libs": 2, "err": false}
[63/769] i=63 rc=0 0.5s {"i": 63, "pair": "libcap2__2.77__2.78", "libs": 2, "err": false}
[64/769] i=64 rc=0 0.6s {"i": 64, "pair": "e2fsprogs__1.46.1__1.46.2", "libs": 1, "err": false}
[65/769] i=65 rc=0 0.6s {"i": 65, "pair": "e2fsprogs__1.46.2__1.46.3", "libs": 1, "err": false}
[66/769] i=66 rc=0 0.6s {"i": 66, "pair": "e2fsprogs__1.46.3__1.46.4", "libs": 1, "err": false}
[67/769] i=67 rc=0 0.5s {"i": 67, "pair": "e2fsprogs__1.46.4__1.46.5", "libs": 1, "err": false}
[68/769] i=68 rc=0 0.5s {"i": 68, "pair": "e2fsprogs__1.46.5__1.46.6", "libs": 1, "err": false}
[69/769] i=69 rc=0 0.6s {"i": 69, "pair": "e2fsprogs__1.46.6__1.47.0", "libs": 1, "err": false}
[70/769] i=70 rc=0 0.6s {"i": 70, "pair": "e2fsprogs__1.47.0__1.47.1", "libs": 1, "err": false}
[71/769] i=71 rc=0 0.6s {"i": 71, "pair": "e2fsprogs__1.47.1__1.47.2", "libs": 1, "err": false}
[72/769] i=72 rc=0 0.6s {"i": 72, "pair": "e2fsprogs__1.47.2__1.47.4", "libs": 1, "err": false}
[73/769] i=73 rc=0 1.0s {"i": 73, "pair": "slang2__2.3.0__2.3.1", "libs": 1, "err": false}
[74/769] i=77 rc=0 0.6s {"i": 77, "pair": "libbsd__0.11.2__0.11.3", "libs": 1, "err": false}
[75/769] i=74 rc=0 1.0s {"i": 74, "pair": "slang2__2.3.1__2.3.1a", "libs": 1, "err": false}
[76/769] i=75 rc=0 1.1s {"i": 75, "pair": "slang2__2.3.1a__2.3.2", "libs": 1, "err": false}
[77/769] i=78 rc=0 0.6s {"i": 78, "pair": "libbsd__0.11.3__0.11.4", "libs": 1, "err": false}
[78/769] i=76 rc=0 1.2s {"i": 76, "pair": "slang2__2.3.2__2.3.3", "libs": 1, "err": false}
[79/769] i=79 rc=0 0.7s {"i": 79, "pair": "libbsd__0.11.4__0.11.5", "libs": 1, "err": false}
[80/769] i=80 rc=0 0.6s {"i": 80, "pair": "libbsd__0.11.5__0.11.6", "libs": 1, "err": false}
[81/769] i=81 rc=0 0.6s {"i": 81, "pair": "libbsd__0.11.6__0.11.7", "libs": 1, "err": false}
[82/769] i=82 rc=0 0.6s {"i": 82, "pair": "libbsd__0.11.7__0.11.8", "libs": 1, "err": false}
[83/769] i=83 rc=0 0.7s {"i": 83, "pair": "libbsd__0.11.8__0.12.0", "libs": 1, "err": false}
[84/769] i=84 rc=0 0.6s {"i": 84, "pair": "libbsd__0.12.0__0.12.1", "libs": 1, "err": false}
[85/769] i=85 rc=0 0.7s {"i": 85, "pair": "libbsd__0.12.1__0.12.2", "libs": 1, "err": false}
[86/769] i=86 rc=0 0.7s {"i": 86, "pair": "lvm2__2.03.02__2.03.07", "libs": 1, "err": false}
[87/769] i=87 rc=0 0.7s {"i": 87, "pair": "lvm2__2.03.07__2.03.09", "libs": 1, "err": false}
[88/769] i=88 rc=0 0.8s {"i": 88, "pair": "lvm2__2.03.09__2.03.10", "libs": 1, "err": false}
[89/769] i=89 rc=0 0.7s {"i": 89, "pair": "lvm2__2.03.10__2.03.11", "libs": 1, "err": false}
[90/769] i=90 rc=0 0.9s {"i": 90, "pair": "lvm2__2.03.11__2.03.15", "libs": 1, "err": false}
[91/769] i=91 rc=0 0.8s {"i": 91, "pair": "lvm2__2.03.15__2.03.16", "libs": 1, "err": false}
[92/769] i=92 rc=0 0.9s {"i": 92, "pair": "lvm2__2.03.16__2.03.22", "libs": 1, "err": false}
[93/769] i=93 rc=0 0.8s {"i": 93, "pair": "lvm2__2.03.22__2.03.27", "libs": 1, "err": false}
[94/769] i=94 rc=0 0.8s {"i": 94, "pair": "lvm2__2.03.27__2.03.31", "libs": 1, "err": false}
[95/769] i=96 rc=0 5.6s {"i": 96, "pair": "sqlite3__3.45.0__3.45.1", "libs": 1, "err": false}
[96/769] i=98 rc=0 5.5s {"i": 98, "pair": "sqlite3__3.45.2__3.45.3", "libs": 1, "err": false}
[97/769] i=95 rc=0 18.9s {"i": 95, "pair": "sqlite3__3.44.2__3.45.0", "libs": 1, "err": false}
[98/769] i=97 rc=0 18.8s {"i": 97, "pair": "sqlite3__3.45.1__3.45.2", "libs": 1, "err": false}
[99/769] i=99 rc=0 18.8s {"i": 99, "pair": "sqlite3__3.45.3__3.46.0", "libs": 1, "err": false}
[100/769] i=104 rc=0 0.8s {"i": 104, "pair": "expat__2.7.1__2.7.2", "libs": 2, "err": false}
[101/769] i=105 rc=0 0.8s {"i": 105, "pair": "expat__2.7.2__2.7.3", "libs": 2, "err": false}
[102/769] i=106 rc=0 1.0s {"i": 106, "pair": "expat__2.7.3__2.7.4", "libs": 2, "err": false}
[103/769] i=107 rc=0 0.8s {"i": 107, "pair": "expat__2.7.4__2.7.5", "libs": 2, "err": false}
[104/769] i=108 rc=0 0.9s {"i": 108, "pair": "expat__2.7.5__2.8.0", "libs": 2, "err": false}
[105/769] i=109 rc=0 0.8s {"i": 109, "pair": "expat__2.8.0__2.8.1", "libs": 2, "err": false}
[106/769] i=103 rc=0 5.5s {"i": 103, "pair": "sqlite3__3.53.3__3.53.4", "libs": 1, "err": false}
[107/769] i=100 rc=0 19.3s {"i": 100, "pair": "sqlite3__3.46.0__3.46.1", "libs": 1, "err": false}
[108/769] i=110 rc=0 1.1s {"i": 110, "pair": "expat__2.8.1__2.8.2", "libs": 2, "err": false}
[109/769] i=111 rc=0 1.0s {"i": 111, "pair": "expat__2.8.2__2.8.3", "libs": 2, "err": false}
[110/769] i=112 rc=0 1.0s {"i": 112, "pair": "expat__2.8.3__2.8.4", "libs": 2, "err": false}
[111/769] i=113 rc=0 0.7s {"i": 113, "pair": "newt__0.52.18__0.52.19", "libs": 1, "err": false}
[112/769] i=114 rc=0 0.7s {"i": 114, "pair": "newt__0.52.19__0.52.20", "libs": 1, "err": false}
[113/769] i=116 rc=0 0.6s {"i": 116, "pair": "newt__0.52.21__0.52.22", "libs": 1, "err": false}
[114/769] i=115 rc=0 0.7s {"i": 115, "pair": "newt__0.52.20__0.52.21", "libs": 1, "err": false}
[115/769] i=117 rc=0 0.6s {"i": 117, "pair": "newt__0.52.22__0.52.23", "libs": 1, "err": false}
[116/769] i=101 rc=0 21.0s {"i": 101, "pair": "sqlite3__3.46.1__3.53.2", "libs": 1, "err": false}
[117/769] i=118 rc=0 0.7s {"i": 118, "pair": "newt__0.52.23__0.52.24", "libs": 1, "err": false}
[118/769] i=119 rc=0 0.8s {"i": 119, "pair": "newt__0.52.24__0.52.25", "libs": 1, "err": false}
[119/769] i=121 rc=0 1.0s {"i": 121, "pair": "freetype__2.12.0+dfsg__2.12.1+dfsg", "libs": 1, "err": false}
[120/769] i=122 rc=0 1.0s {"i": 122, "pair": "freetype__2.12.1+dfsg__2.13.0+dfsg", "libs": 1, "err": false}
[121/769] i=120 rc=0 1.6s {"i": 120, "pair": "freetype__2.11.1+dfsg__2.12.0+dfsg", "libs": 1, "err": false}
[122/769] i=124 rc=0 1.0s {"i": 124, "pair": "freetype__2.13.1+dfsg__2.13.2+dfsg", "libs": 1, "err": false}
[123/769] i=123 rc=0 1.5s {"i": 123, "pair": "freetype__2.13.0+dfsg__2.13.1+dfsg", "libs": 1, "err": false}
[124/769] i=125 rc=0 1.7s {"i": 125, "pair": "freetype__2.13.2+dfsg__2.13.3+dfsg", "libs": 1, "err": false}
[125/769] i=126 rc=0 1.6s {"i": 126, "pair": "freetype__2.13.3+dfsg__2.14.1+dfsg", "libs": 1, "err": false}
[126/769] i=128 rc=0 1.1s {"i": 128, "pair": "freetype__2.14.2+dfsg__2.14.3+dfsg", "libs": 1, "err": false}
[127/769] i=129 rc=0 0.5s {"i": 129, "pair": "klibc__2.0.5__2.0.6", "libs": 0, "err": false}
[128/769] i=131 rc=0 0.5s {"i": 131, "pair": "klibc__2.0.7__2.0.8", "libs": 0, "err": false}
[129/769] i=130 rc=0 0.5s {"i": 130, "pair": "klibc__2.0.6__2.0.7", "libs": 0, "err": false}
[130/769] i=127 rc=0 1.7s {"i": 127, "pair": "freetype__2.14.1+dfsg__2.14.2+dfsg", "libs": 1, "err": false}
[131/769] i=132 rc=0 0.5s {"i": 132, "pair": "klibc__2.0.8__2.0.9", "libs": 0, "err": false}
[132/769] i=134 rc=0 0.5s {"i": 134, "pair": "klibc__2.0.10__2.0.11", "libs": 0, "err": false}
[133/769] i=133 rc=0 0.6s {"i": 133, "pair": "klibc__2.0.9__2.0.10", "libs": 1, "err": false}
[134/769] i=135 rc=0 0.5s {"i": 135, "pair": "klibc__2.0.11__2.0.12", "libs": 1, "err": false}
[135/769] i=136 rc=0 0.5s {"i": 136, "pair": "klibc__2.0.12__2.0.13", "libs": 0, "err": false}
[136/769] i=137 rc=0 0.5s {"i": 137, "pair": "klibc__2.0.13__2.0.14", "libs": 0, "err": false}
[137/769] i=138 rc=0 0.7s {"i": 138, "pair": "xz-utils__5.6.0__5.6.1", "libs": 1, "err": false}
[138/769] i=139 rc=0 0.7s {"i": 139, "pair": "xz-utils__5.6.1__5.6.1+really5.4.5", "libs": 1, "err": false}
[139/769] i=140 rc=0 0.7s {"i": 140, "pair": "xz-utils__5.6.1+really5.4.5__5.6.2", "libs": 1, "err": false}
[140/769] i=141 rc=0 0.7s {"i": 141, "pair": "xz-utils__5.6.2__5.6.3", "libs": 1, "err": false}
[141/769] i=142 rc=0 0.7s {"i": 142, "pair": "xz-utils__5.6.3__5.6.4", "libs": 1, "err": false}
[142/769] i=143 rc=0 0.7s {"i": 143, "pair": "xz-utils__5.6.4__5.8.0", "libs": 1, "err": false}
[143/769] i=144 rc=0 0.8s {"i": 144, "pair": "xz-utils__5.8.0__5.8.1", "libs": 1, "err": false}
[144/769] i=145 rc=0 0.7s {"i": 145, "pair": "xz-utils__5.8.1__5.8.2", "libs": 1, "err": false}
[145/769] i=146 rc=0 0.7s {"i": 146, "pair": "xz-utils__5.8.2__5.8.3", "libs": 1, "err": false}
[146/769] i=147 rc=0 1.4s {"i": 147, "pair": "dbus__1.15.2__1.15.4", "libs": 1, "err": false}
[147/769] i=148 rc=0 1.1s {"i": 148, "pair": "dbus__1.15.4__1.15.6", "libs": 1, "err": false}
[148/769] i=149 rc=0 1.4s {"i": 149, "pair": "dbus__1.15.6__1.15.8", "libs": 1, "err": false}
[149/769] i=150 rc=0 1.3s {"i": 150, "pair": "dbus__1.15.8__1.15.10", "libs": 1, "err": false}
[150/769] i=22 rc=0 47.1s {"i": 22, "pair": "gcc-16__16.1.0__16.2.0", "libs": 1, "err": false}
[151/769] i=151 rc=0 1.1s {"i": 151, "pair": "dbus__1.15.10__1.15.12", "libs": 1, "err": false}
[152/769] i=152 rc=0 1.1s {"i": 152, "pair": "dbus__1.15.12__1.15.90", "libs": 1, "err": false}
[153/769] i=153 rc=0 1.1s {"i": 153, "pair": "dbus__1.15.90__1.15.92", "libs": 1, "err": false}
[154/769] i=154 rc=0 1.1s {"i": 154, "pair": "dbus__1.15.92__1.16.0", "libs": 1, "err": false}
[155/769] i=156 rc=0 0.7s {"i": 156, "pair": "kmod__31__31+20240202", "libs": 1, "err": false}
[156/769] i=157 rc=0 0.7s {"i": 157, "pair": "kmod__31+20240202__32", "libs": 1, "err": false}
[157/769] i=155 rc=0 1.1s {"i": 155, "pair": "dbus__1.16.0__1.16.2", "libs": 1, "err": false}
[158/769] i=158 rc=0 0.7s {"i": 158, "pair": "kmod__32__32+20240327", "libs": 1, "err": false}
[159/769] i=159 rc=0 0.7s {"i": 159, "pair": "kmod__32+20240327__32+20240611", "libs": 1, "err": false}
[160/769] i=160 rc=0 0.7s {"i": 160, "pair": "kmod__32+20240611__33+20240816", "libs": 1, "err": false}
[161/769] i=161 rc=0 0.7s {"i": 161, "pair": "kmod__33+20240816__33+20241031", "libs": 1, "err": false}
[162/769] i=162 rc=0 0.7s {"i": 162, "pair": "kmod__33+20241031__34", "libs": 1, "err": false}
[163/769] i=163 rc=0 0.7s {"i": 163, "pair": "kmod__34__34.1", "libs": 1, "err": false}
[164/769] i=164 rc=0 0.7s {"i": 164, "pair": "kmod__34.1__34.2", "libs": 1, "err": false}
[165/769] i=165 rc=0 0.6s {"i": 165, "pair": "pciutils__3.6.4__3.7.0", "libs": 1, "err": false}
[166/769] i=166 rc=0 0.5s {"i": 166, "pair": "pciutils__3.7.0__3.8.0", "libs": 0, "err": true}
[167/769] i=167 rc=0 0.5s {"i": 167, "pair": "pciutils__3.8.0__3.9.0", "libs": 0, "err": true}
[168/769] i=168 rc=0 0.6s {"i": 168, "pair": "pciutils__3.9.0__3.10.0", "libs": 1, "err": false}
[169/769] i=169 rc=0 0.6s {"i": 169, "pair": "pciutils__3.10.0__3.11.1", "libs": 1, "err": false}
[170/769] i=170 rc=0 0.6s {"i": 170, "pair": "pciutils__3.11.1__3.12.0", "libs": 1, "err": false}
[171/769] i=171 rc=0 0.6s {"i": 171, "pair": "pciutils__3.12.0__3.13.0", "libs": 1, "err": false}
[172/769] i=172 rc=0 0.6s {"i": 172, "pair": "pciutils__3.13.0__3.14.0", "libs": 1, "err": false}
[173/769] i=173 rc=0 0.6s {"i": 173, "pair": "pciutils__3.14.0__3.15.0", "libs": 1, "err": false}
[174/769] i=174 rc=0 1.2s {"i": 174, "pair": "p11-kit__0.25.0__0.25.1", "libs": 1, "err": false}
[175/769] i=175 rc=0 1.2s {"i": 175, "pair": "p11-kit__0.25.1__0.25.2", "libs": 1, "err": false}
[176/769] i=102 rc=0 19.9s {"i": 102, "pair": "sqlite3__3.53.2__3.53.3", "libs": 1, "err": false}
[177/769] i=176 rc=0 1.1s {"i": 176, "pair": "p11-kit__0.25.2__0.25.3", "libs": 1, "err": false}
[178/769] i=177 rc=0 1.1s {"i": 177, "pair": "p11-kit__0.25.3__0.25.5", "libs": 1, "err": false}
[179/769] i=178 rc=0 1.1s {"i": 178, "pair": "p11-kit__0.25.5__0.25.9", "libs": 1, "err": false}
[180/769] i=183 rc=0 0.6s {"i": 183, "pair": "gmp__6.1.0+dfsg__6.1.1+dfsg", "libs": 1, "err": false}
[181/769] i=184 rc=0 0.6s {"i": 184, "pair": "gmp__6.1.1+dfsg__6.1.2+dfsg", "libs": 1, "err": false}
[182/769] i=179 rc=0 1.1s {"i": 179, "pair": "p11-kit__0.25.9__0.25.10", "libs": 1, "err": false}
[183/769] i=180 rc=0 1.1s {"i": 180, "pair": "p11-kit__0.25.10__0.26.2", "libs": 1, "err": false}
[184/769] i=185 rc=0 0.5s {"i": 185, "pair": "gmp__6.1.2+dfsg__6.2.0+dfsg", "libs": 1, "err": false}
[185/769] i=181 rc=0 1.2s {"i": 181, "pair": "p11-kit__0.26.2__0.26.4", "libs": 1, "err": false}
[186/769] i=182 rc=0 1.3s {"i": 182, "pair": "p11-kit__0.26.4__0.26.5", "libs": 1, "err": false}
[187/769] i=186 rc=0 0.6s {"i": 186, "pair": "gmp__6.2.0+dfsg__6.2.1+dfsg", "libs": 1, "err": false}
[188/769] i=187 rc=0 0.6s {"i": 187, "pair": "gmp__6.2.1+dfsg__6.2.1+dfsg1", "libs": 1, "err": false}
[189/769] i=188 rc=0 0.5s {"i": 188, "pair": "gmp__6.2.1+dfsg1__6.3.0+dfsg", "libs": 1, "err": false}
[190/769] i=189 rc=0 0.5s {"i": 189, "pair": "libxau__1.0.9__1.0.11", "libs": 1, "err": false}
[191/769] i=190 rc=0 0.9s {"i": 190, "pair": "libxcb__1.13__1.13.1", "libs": 1, "err": false}
[192/769] i=194 rc=0 0.6s {"i": 194, "pair": "libx11__1.7.4__1.7.5", "libs": 1, "err": false}
[193/769] i=195 rc=0 0.6s {"i": 195, "pair": "libx11__1.7.5__1.8.1", "libs": 1, "err": false}
[194/769] i=191 rc=0 1.2s {"i": 191, "pair": "libxcb__1.13.1__1.14", "libs": 1, "err": false}
[195/769] i=192 rc=0 1.1s {"i": 192, "pair": "libxcb__1.14__1.15", "libs": 1, "err": false}
[196/769] i=196 rc=0 0.6s {"i": 196, "pair": "libx11__1.8.1__1.8.3", "libs": 1, "err": false}
[197/769] i=197 rc=0 0.5s {"i": 197, "pair": "libx11__1.8.3__1.8.4", "libs": 1, "err": false}
[198/769] i=198 rc=0 0.6s {"i": 198, "pair": "libx11__1.8.4__1.8.6", "libs": 1, "err": false}
[199/769] i=193 rc=0 1.3s {"i": 193, "pair": "libxcb__1.15__1.17.0", "libs": 1, "err": false}
[200/769] i=200 rc=0 0.6s {"i": 200, "pair": "libx11__1.8.7__1.8.10", "libs": 1, "err": false}
[201/769] i=199 rc=0 0.6s {"i": 199, "pair": "libx11__1.8.6__1.8.7", "libs": 1, "err": false}
[202/769] i=201 rc=0 0.5s {"i": 201, "pair": "libx11__1.8.10__1.8.12", "libs": 1, "err": false}
[203/769] i=202 rc=0 0.6s {"i": 202, "pair": "libx11__1.8.12__1.8.13", "libs": 1, "err": false}
[204/769] i=203 rc=0 0.6s {"i": 203, "pair": "libcap-ng__0.7.7__0.7.9", "libs": 1, "err": false}
[205/769] i=204 rc=0 0.6s {"i": 204, "pair": "libcap-ng__0.7.9__0.8.3", "libs": 1, "err": false}
[206/769] i=206 rc=0 0.6s {"i": 206, "pair": "libcap-ng__0.8.4__0.8.5", "libs": 2, "err": false}
[207/769] i=205 rc=0 0.6s {"i": 205, "pair": "libcap-ng__0.8.3__0.8.4", "libs": 2, "err": false}
[208/769] i=207 rc=0 0.6s {"i": 207, "pair": "libcap-ng__0.8.5__0.9.1", "libs": 2, "err": false}
[209/769] i=208 rc=0 0.6s {"i": 208, "pair": "libcap-ng__0.9.1__0.9.2", "libs": 2, "err": false}
[210/769] i=209 rc=0 0.6s {"i": 209, "pair": "libcap-ng__0.9.2__0.9.3", "libs": 2, "err": false}
[211/769] i=210 rc=0 0.6s {"i": 210, "pair": "libcap-ng__0.9.3__0.9.5", "libs": 2, "err": false}
[212/769] i=212 rc=0 0.5s {"i": 212, "pair": "audit__3.0.7__3.0.9", "libs": 1, "err": false}
[213/769] i=211 rc=0 0.6s {"i": 211, "pair": "audit__3.0.6__3.0.7", "libs": 1, "err": false}
[214/769] i=213 rc=0 0.6s {"i": 213, "pair": "audit__3.0.9__3.1.1", "libs": 1, "err": false}
[215/769] i=214 rc=0 0.6s {"i": 214, "pair": "audit__3.1.1__3.1.2", "libs": 1, "err": false}
[216/769] i=215 rc=0 0.5s {"i": 215, "pair": "audit__3.1.2__4.0.1", "libs": 1, "err": false}
[217/769] i=216 rc=0 0.6s {"i": 216, "pair": "audit__4.0.1__4.0.2", "libs": 1, "err": false}
[218/769] i=218 rc=0 0.5s {"i": 218, "pair": "audit__4.0.5__4.1.1", "libs": 1, "err": false}
[219/769] i=217 rc=0 0.6s {"i": 217, "pair": "audit__4.0.2__4.0.5", "libs": 1, "err": false}
[220/769] i=219 rc=0 0.5s {"i": 219, "pair": "audit__4.1.1__4.1.2", "libs": 1, "err": false}
[221/769] i=221 rc=0 1.2s {"i": 221, "pair": "systemd__258__258.1", "libs": 1, "err": false}
[222/769] i=220 rc=0 1.3s {"i": 220, "pair": "systemd__257.7__258", "libs": 1, "err": false}
[223/769] i=222 rc=0 1.2s {"i": 222, "pair": "systemd__258.1__259", "libs": 1, "err": false}
[224/769] i=223 rc=0 1.1s {"i": 223, "pair": "systemd__259__259.1", "libs": 1, "err": false}
[225/769] i=224 rc=0 1.2s {"i": 224, "pair": "systemd__259.1__260", "libs": 1, "err": false}
[226/769] i=225 rc=0 1.3s {"i": 225, "pair": "systemd__260__260.1", "libs": 1, "err": false}
[227/769] i=229 rc=0 0.6s {"i": 229, "pair": "cdebconf__0.275__0.276", "libs": 1, "err": false}
[228/769] i=230 rc=0 0.5s {"i": 230, "pair": "cdebconf__0.276__0.277", "libs": 1, "err": false}
[229/769] i=231 rc=0 0.5s {"i": 231, "pair": "cdebconf__0.277__0.278", "libs": 1, "err": false}
[230/769] i=232 rc=0 0.6s {"i": 232, "pair": "cdebconf__0.278__0.279", "libs": 1, "err": false}
[231/769] i=233 rc=0 0.5s {"i": 233, "pair": "cdebconf__0.279__0.279+hurd.1", "libs": 0, "err": true}
[232/769] i=227 rc=0 1.3s {"i": 227, "pair": "systemd__261__261.1", "libs": 1, "err": false}
[233/769] i=226 rc=0 1.4s {"i": 226, "pair": "systemd__260.1__261", "libs": 1, "err": false}
