811 pairs total, 811 to do, 6 workers
[147/811] i=148 rc=0 1.6s {"i": 148, "pair": "dbus__1.15.4__1.15.6", "libs": 1, "err": false}
[148/811] i=147 rc=0 2.2s {"i": 147, "pair": "dbus__1.15.2__1.15.4", "libs": 1, "err": false}
[149/811] i=149 rc=0 1.7s {"i": 149, "pair": "dbus__1.15.6__1.15.8", "libs": 1, "err": false}
[150/811] i=146 rc=0 2.8s {"i": 146, "pair": "xz-utils__5.8.2__5.8.3", "libs": 1, "err": false}
[151/811] i=150 rc=0 2.1s {"i": 150, "pair": "dbus__1.15.8__1.15.10", "libs": 1, "err": false}
[152/811] i=151 rc=0 2.0s {"i": 151, "pair": "dbus__1.15.10__1.15.12", "libs": 1, "err": false}
[153/811] i=152 rc=0 1.4s {"i": 152, "pair": "dbus__1.15.12__1.15.90", "libs": 1, "err": false}
[154/811] i=153 rc=0 1.7s {"i": 153, "pair": "dbus__1.15.90__1.15.92", "libs": 1, "err": false}
[155/811] i=154 rc=0 1.6s {"i": 154, "pair": "dbus__1.15.92__1.16.0", "libs": 1, "err": false}
[156/811] i=156 rc=0 1.6s {"i": 156, "pair": "kmod__31__31+20240202", "libs": 1, "err": false}
[157/811] i=157 rc=0 1.3s {"i": 157, "pair": "kmod__31+20240202__32", "libs": 1, "err": false}
[158/811] i=155 rc=0 2.2s {"i": 155, "pair": "dbus__1.16.0__1.16.2", "libs": 1, "err": false}
[159/811] i=158 rc=0 1.6s {"i": 158, "pair": "kmod__32__32+20240327", "libs": 1, "err": false}
[160/811] i=159 rc=0 1.4s {"i": 159, "pair": "kmod__32+20240327__32+20240611", "libs": 1, "err": false}
[161/811] i=160 rc=0 1.6s {"i": 160, "pair": "kmod__32+20240611__33+20240816", "libs": 1, "err": false}
[162/811] i=162 rc=0 1.2s {"i": 162, "pair": "kmod__33+20241031__34", "libs": 1, "err": false}
[163/811] i=161 rc=0 1.3s {"i": 161, "pair": "kmod__33+20240816__33+20241031", "libs": 1, "err": false}
[164/811] i=163 rc=0 1.3s {"i": 163, "pair": "kmod__34__34.1", "libs": 1, "err": false}
[165/811] i=167 rc=0 0.6s {"i": 167, "pair": "pciutils__3.8.0__3.9.0", "libs": 0, "err": true}
[166/811] i=166 rc=0 1.0s {"i": 166, "pair": "pciutils__3.7.0__3.8.0", "libs": 0, "err": true}
[167/811] i=165 rc=0 1.5s {"i": 165, "pair": "pciutils__3.6.4__3.7.0", "libs": 1, "err": false}
[168/811] i=164 rc=0 1.9s {"i": 164, "pair": "kmod__34.1__34.2", "libs": 1, "err": false}
[169/811] i=168 rc=0 1.3s {"i": 168, "pair": "pciutils__3.9.0__3.10.0", "libs": 1, "err": false}
[170/811] i=169 rc=0 1.4s {"i": 169, "pair": "pciutils__3.10.0__3.11.1", "libs": 1, "err": false}
[171/811] i=170 rc=0 1.3s {"i": 170, "pair": "pciutils__3.11.1__3.12.0", "libs": 1, "err": false}
[172/811] i=171 rc=0 1.1s {"i": 171, "pair": "pciutils__3.12.0__3.13.0", "libs": 1, "err": false}
[173/811] i=172 rc=0 1.2s {"i": 172, "pair": "pciutils__3.13.0__3.14.0", "libs": 1, "err": false}
[174/811] i=173 rc=0 1.9s {"i": 173, "pair": "pciutils__3.14.0__3.15.0", "libs": 1, "err": false}
[175/811] i=174 rc=0 2.1s {"i": 174, "pair": "p11-kit__0.25.0__0.25.1", "libs": 1, "err": false}
[176/811] i=175 rc=0 2.2s {"i": 175, "pair": "p11-kit__0.25.1__0.25.2", "libs": 1, "err": false}
[177/811] i=176 rc=0 1.9s {"i": 176, "pair": "p11-kit__0.25.2__0.25.3", "libs": 1, "err": false}
[178/811] i=177 rc=0 2.0s {"i": 177, "pair": "p11-kit__0.25.3__0.25.5", "libs": 1, "err": false}
[179/811] i=178 rc=0 2.6s {"i": 178, "pair": "p11-kit__0.25.5__0.25.9", "libs": 1, "err": false}
[180/811] i=179 rc=0 2.2s {"i": 179, "pair": "p11-kit__0.25.9__0.25.10", "libs": 1, "err": false}
[181/811] i=181 rc=0 1.7s {"i": 181, "pair": "p11-kit__0.26.2__0.26.4", "libs": 1, "err": false}
[182/811] i=180 rc=0 2.1s {"i": 180, "pair": "p11-kit__0.25.10__0.26.2", "libs": 1, "err": false}
[183/811] i=183 rc=0 2.2s {"i": 183, "pair": "gmp__6.1.0+dfsg__6.1.1+dfsg", "libs": 1, "err": false}
[184/811] i=184 rc=0 1.8s {"i": 184, "pair": "gmp__6.1.1+dfsg__6.1.2+dfsg", "libs": 1, "err": false}
[185/811] i=182 rc=0 2.9s {"i": 182, "pair": "p11-kit__0.26.4__0.26.5", "libs": 1, "err": false}
[186/811] i=185 rc=0 1.8s {"i": 185, "pair": "gmp__6.1.2+dfsg__6.2.0+dfsg", "libs": 1, "err": false}
[187/811] i=186 rc=0 1.7s {"i": 186, "pair": "gmp__6.2.0+dfsg__6.2.1+dfsg", "libs": 1, "err": false}
[188/811] i=187 rc=0 2.6s {"i": 187, "pair": "gmp__6.2.1+dfsg__6.2.1+dfsg1", "libs": 1, "err": false}
[189/811] i=189 rc=0 2.0s {"i": 189, "pair": "libxau__1.0.9__1.0.11", "libs": 1, "err": false}
[190/811] i=190 rc=0 2.5s {"i": 190, "pair": "libxcb__1.13__1.13.1", "libs": 1, "err": false}
[191/811] i=188 rc=0 3.1s {"i": 188, "pair": "gmp__6.2.1+dfsg1__6.3.0+dfsg", "libs": 1, "err": false}
[192/811] i=191 rc=0 2.5s {"i": 191, "pair": "libxcb__1.13.1__1.14", "libs": 1, "err": false}
[193/811] i=194 rc=0 2.2s {"i": 194, "pair": "libx11__1.7.4__1.7.5", "libs": 1, "err": false}
[194/811] i=196 rc=0 1.7s {"i": 196, "pair": "libx11__1.8.1__1.8.3", "libs": 1, "err": false}
[195/811] i=192 rc=0 3.9s {"i": 192, "pair": "libxcb__1.14__1.15", "libs": 1, "err": false}
